op,costCon,avgCon,costUnion,avgUnion
1,2,2.000,626,626.000
2,2,2.000,626,626.000
3,2,2.000,626,626.000
4,2,2.000,626,626.000
5,2,2.000,626,626.000
6,2,2.000,626,626.000
7,2,2.000,626,626.000
8,2,2.000,626,626.000
9,2,2.000,626,626.000
10,2,2.000,626,626.000
11,2,2.000,626,626.000
12,2,2.000,626,626.000
13,2,2.000,626,626.000
14,2,2.000,626,626.000
15,2,2.000,626,626.000
16,2,2.000,626,626.000
17,2,2.000,626,626.000
18,2,2.000,626,626.000
19,2,2.000,626,626.000
20,2,2.000,626,626.000
21,2,2.000,626,626.000
22,2,2.000,626,626.000
23,2,2.000,626,626.000
24,2,2.000,626,626.000
25,2,2.000,626,626.000
26,2,2.000,626,626.000
27,2,2.000,626,626.000
28,2,2.000,626,626.000
29,2,2.000,626,626.000
30,2,2.000,626,626.000
31,2,2.000,626,626.000
32,2,2.000,626,626.000
33,2,2.000,626,626.000
34,2,2.000,627,626.029
35,2,2.000,626,626.029
36,2,2.000,626,626.028
37,2,2.000,626,626.027
38,2,2.000,626,626.026
39,2,2.000,626,626.026
40,2,2.000,626,626.025
41,2,2.000,626,626.024
42,2,2.000,627,626.048
43,2,2.000,626,626.047
44,2,2.000,626,626.045
45,2,2.000,626,626.044
46,2,2.000,626,626.043
47,2,2.000,626,626.043
48,2,2.000,627,626.063
49,2,2.000,626,626.061
50,2,2.000,626,626.060
51,2,2.000,626,626.059
52,2,2.000,626,626.058
53,2,2.000,626,626.057
54,2,2.000,626,626.056
55,2,2.000,626,626.055
56,2,2.000,626,626.054
57,2,2.000,626,626.053
58,2,2.000,626,626.052
59,2,2.000,626,626.051
60,2,2.000,626,626.050
61,2,2.000,626,626.049
62,2,2.000,626,626.048
63,2,2.000,626,626.048
64,2,2.000,626,626.047
65,2,2.000,628,626.077
66,2,2.000,626,626.076
67,2,2.000,626,626.075
68,2,2.000,627,626.088
69,2,2.000,626,626.087
70,2,2.000,626,626.086
71,2,2.000,626,626.085
72,2,2.000,626,626.083
73,2,2.000,626,626.082
74,2,2.000,626,626.081
75,2,2.000,628,626.107
76,2,2.000,626,626.105
77,2,2.000,626,626.104
78,2,2.000,626,626.103
79,2,2.000,627,626.114
80,2,2.000,626,626.113
81,2,2.000,626,626.111
82,2,2.000,626,626.110
83,2,2.000,626,626.108
84,2,2.000,626,626.107
85,2,2.000,627,626.118
86,2,2.000,626,626.116
87,2,2.000,626,626.115
88,2,2.000,626,626.114
89,2,2.000,628,626.135
90,2,2.000,626,626.133
91,2,2.000,626,626.132
92,2,2.000,626,626.130
93,2,2.000,627,626.140
94,2,2.000,628,626.160
95,2,2.000,627,626.168
96,2,2.000,626,626.167
97,2,2.000,626,626.165
98,2,2.000,628,626.184
99,2,2.000,626,626.182
100,2,2.000,626,626.180
101,2,2.000,628,626.198
102,2,2.000,626,626.196
103,2,2.000,629,626.223
104,2,2.000,626,626.221
105,2,2.000,626,626.219
106,2,2.000,626,626.217
107,2,2.000,626,626.215
108,2,2.000,626,626.213
109,2,2.000,626,626.211
110,2,2.000,626,626.209
111,2,2.000,626,626.207
112,2,2.000,626,626.205
113,2,2.000,629,626.230
114,2,2.000,626,626.228
115,2,2.000,626,626.226
116,2,2.000,626,626.224
117,2,2.000,626,626.222
118,2,2.000,626,626.220
119,2,2.000,628,626.235
120,2,2.000,626,626.233
121,2,2.000,626,626.231
