op,costCon,avgCon,costUnion,avgUnion
1,2,2.000,3,3.000
2,2,2.000,3,3.000
3,2,2.000,3,3.000
4,2,2.000,3,3.000
5,2,2.000,3,3.000
6,2,2.000,3,3.000
7,2,2.000,3,3.000
8,2,2.000,3,3.000
9,2,2.000,3,3.000
10,2,2.000,3,3.000
11,2,2.000,3,3.000
12,2,2.000,3,3.000
13,2,2.000,3,3.000
14,2,2.000,3,3.000
15,2,2.000,3,3.000
16,4,2.125,5,3.125
17,2,2.118,3,3.118
18,2,2.111,3,3.111
19,2,2.105,3,3.105
20,2,2.100,3,3.100
21,2,2.095,3,3.095
22,2,2.091,3,3.091
23,2,2.087,3,3.087
24,2,2.083,3,3.083
25,2,2.080,3,3.080
26,2,2.077,3,3.077
27,4,2.148,5,3.148
28,2,2.143,3,3.143
29,2,2.138,3,3.138
30,2,2.133,3,3.133
31,2,2.129,3,3.129
32,2,2.125,3,3.125
33,2,2.121,3,3.121
34,2,2.118,3,3.118
35,2,2.114,3,3.114
36,4,2.167,5,3.167
37,4,2.216,5,3.216
38,2,2.211,3,3.211
39,2,2.205,3,3.205
40,2,2.200,3,3.200
41,2,2.195,3,3.195
42,4,2.238,5,3.238
43,2,2.233,3,3.233
44,2,2.227,3,3.227
45,2,2.222,3,3.222
46,2,2.217,3,3.217
47,2,2.213,3,3.213
48,4,2.250,5,3.250
49,2,2.245,3,3.245
50,2,2.240,3,3.240
51,4,2.275,5,3.275
52,2,2.269,3,3.269
53,2,2.264,3,3.264
54,2,2.259,3,3.259
55,2,2.255,3,3.255
56,2,2.250,3,3.250
57,2,2.246,3,3.246
58,2,2.241,3,3.241
59,4,2.271,5,3.271
60,2,2.267,3,3.267
61,2,2.262,3,3.262
62,2,2.258,3,3.258
63,2,2.254,3,3.254
64,2,2.250,3,3.250
65,4,2.277,5,3.277
66,2,2.273,3,3.273
67,2,2.269,3,3.269
68,2,2.265,3,3.265
69,2,2.261,3,3.261
70,2,2.257,3,3.257
71,2,2.254,3,3.254
72,2,2.250,3,3.250
73,2,2.247,3,3.247
74,2,2.243,3,3.243
75,4,2.267,5,3.267
76,2,2.263,3,3.263
77,2,2.260,3,3.260
78,2,2.256,3,3.256
79,2,2.253,3,3.253
80,2,2.250,3,3.250
81,4,2.272,5,3.272
82,2,2.268,3,3.268
83,2,2.265,3,3.265
84,2,2.262,3,3.262
85,2,2.259,3,3.259
86,2,2.256,3,3.256
87,4,2.276,5,3.276
88,2,2.273,3,3.273
89,6,2.315,7,3.315
90,2,2.311,3,3.311
91,2,2.308,3,3.308
92,2,2.304,3,3.304
93,4,2.323,5,3.323
94,6,2.362,7,3.362
95,4,2.379,5,3.379
96,2,2.375,3,3.375
97,4,2.392,5,3.392
98,2,2.388,3,3.388
99,2,2.384,3,3.384
100,2,2.380,3,3.380
101,4,2.396,5,3.396
102,2,2.392,3,3.392
103,10,2.466,11,3.466
104,2,2.462,3,3.462
105,4,2.476,5,3.476
106,2,2.472,3,3.472
107,2,2.467,3,3.467
108,2,2.463,3,3.463
109,4,2.477,5,3.477
110,2,2.473,3,3.473
111,2,2.468,3,3.468
112,2,2.464,3,3.464
113,8,2.513,9,3.513
114,2,2.509,3,3.509
115,2,2.504,3,3.504
116,2,2.500,3,3.500
117,2,2.496,3,3.496
118,2,2.492,3,3.492
119,4,2.504,5,3.504
120,2,2.500,3,3.500
121,2,2.496,3,3.496
122,2,2.492,3,3.492
123,2,2.488,3,3.488
124,2,2.484,3,3.484
125,2,2.480,3,3.480
126,4,2.492,5,3.492
127,2,2.488,3,3.488
128,2,2.484,3,3.484
129,4,2.496,5,3.496
130,4,2.508,5,3.508
131,4,2.519,5,3.519
132,4,2.530,5,3.530
133,8,2.571,9,3.571
134,2,2.567,3,3.567
135,4,2.578,5,3.578
136,12,2.647,13,3.647
137,2,2.642,3,3.642
138,2,2.638,3,3.638
139,2,2.633,3,3.633
140,2,2.629,3,3.629
141,2,2.624,3,3.624
142,2,2.620,3,3.620
143,6,2.643,7,3.643
144,4,2.653,5,3.653
145,4,2.662,5,3.662
146,2,2.658,3,3.658
147,2,2.653,3,3.653
148,2,2.649,3,3.649
149,2,2.644,3,3.644
150,4,2.653,5,3.653
151,2,2.649,3,3.649
152,2,2.645,3,3.645
153,10,2.693,0,3.621
154,4,2.701,5,3.630
155,2,2.697,3,3.626
156,2,2.692,3,3.622
157,2,2.688,3,3.618
158,2,2.684,3,3.614
159,2,2.679,3,3.610
160,2,2.675,3,3.606
161,2,2.671,3,3.602
162,4,2.679,5,3.611
163,2,2.675,3,3.607
164,2,2.671,3,3.604
165,2,2.667,3,3.600
166,4,2.675,5,3.608
167,2,2.671,3,3.605
168,2,2.667,3,3.601
169,6,2.686,7,3.621
170,2,2.682,3,3.618
171,2,2.678,3,3.614
172,2,2.674,3,3.610
173,2,2.671,3,3.607
174,2,2.667,3,3.603
175,2,2.663,3,3.600
176,2,2.659,3,3.597
177,4,2.667,5,3.605
178,2,2.663,3,3.601
179,2,2.659,3,3.598
180,2,2.656,3,3.594
181,2,2.652,3,3.591
182,4,2.659,5,3.599
183,2,2.656,3,3.596
184,2,2.652,3,3.592
185,2,2.649,3,3.589
186,2,2.645,3,3.586
187,2,2.642,3,3.583
188,2,2.638,3,3.580
189,4,2.646,5,3.587
190,2,2.642,3,3.584
191,2,2.639,3,3.581
192,2,2.635,3,3.578
193,2,2.632,3,3.575
194,2,2.629,3,3.572
195,4,2.636,5,3.579
196,2,2.633,3,3.577
197,2,2.629,3,3.574
198,2,2.626,3,3.571
199,4,2.633,5,3.578
200,4,2.640,5,3.585
201,4,2.647,5,3.592
202,2,2.644,3,3.589
203,6,2.660,7,3.606
204,4,2.667,5,3.613
205,4,2.673,5,3.620
206,2,2.670,3,3.617
207,2,2.667,3,3.614
208,6,2.683,7,3.630
209,2,2.679,3,3.627
210,4,2.686,5,3.633
211,8,2.711,9,3.659
212,6,2.726,7,3.675
213,2,2.723,3,3.671
214,2,2.720,3,3.668
215,2,2.716,3,3.665
216,2,2.713,3,3.662
217,2,2.710,3,3.659
218,2,2.706,3,3.656
219,6,2.721,7,3.671
220,2,2.718,3,3.668
221,4,2.724,5,3.674
222,8,2.748,9,3.698
223,6,2.762,7,3.713
224,2,2.759,3,3.710
225,2,2.756,3,3.707
226,2,2.752,3,3.704
227,2,2.749,3,3.700
228,2,2.746,3,3.697
229,2,2.742,3,3.694
230,4,2.748,5,3.700
231,2,2.745,3,3.697
232,4,2.750,5,3.703
233,4,2.755,5,3.708
234,4,2.761,5,3.714
235,2,2.757,3,3.711
236,2,2.754,3,3.708
237,4,2.759,5,3.713
238,2,2.756,3,3.710
239,8,2.778,9,3.732
240,2,2.775,3,3.729
241,6,2.788,7,3.743
242,6,2.802,7,3.756
243,4,2.807,5,3.761
244,2,2.803,3,3.758
245,6,2.816,7,3.771
246,2,2.813,3,3.768
247,4,2.818,5,3.773
248,2,2.815,3,3.770
249,4,2.819,5,3.775
250,2,2.816,3,3.772
251,6,2.829,7,3.785
252,6,2.841,7,3.798
253,4,2.846,5,3.802
254,2,2.843,3,3.799
255,4,2.847,5,3.804
256,4,2.852,5,3.809
257,2,2.848,3,3.805
258,2,2.845,3,3.802
259,2,2.842,3,3.799
260,2,2.838,3,3.796
261,6,2.851,7,3.808
262,4,2.855,5,3.813
263,4,2.859,5,3.817
264,10,2.886,11,3.845
265,2,2.883,3,3.842
266,2,2.880,3,3.838
267,6,2.891,7,3.850
268,6,2.903,7,3.862
269,4,2.907,5,3.866
270,12,2.941,13,3.900
271,2,2.937,3,3.897
272,2,2.934,3,3.893
273,4,2.938,5,3.897
274,4,2.942,5,3.901
275,6,2.953,7,3.913
276,2,2.949,3,3.909
277,2,2.946,3,3.906
278,2,2.942,3,3.903
279,4,2.946,5,3.907
280,6,2.957,7,3.918
281,4,2.961,5,3.922
282,6,2.972,7,3.933
283,2,2.968,3,3.929
284,2,2.965,3,3.926
285,2,2.961,3,3.923
286,6,2.972,0,3.909
287,6,2.983,0,3.895
288,2,2.979,3,3.892
289,2,2.976,3,3.889
290,4,2.979,5,3.893
291,4,2.983,5,3.897
292,2,2.979,3,3.894
293,6,2.990,7,3.904
294,4,2.993,5,3.908
295,2,2.990,3,3.905
296,4,2.993,5,3.909
297,4,2.997,5,3.912
298,2,2.993,3,3.909
299,8,3.010,9,3.926
300,2,3.007,3,3.923
301,10,3.030,11,3.947
302,4,3.033,5,3.950
303,6,3.043,7,3.960
304,6,3.053,7,3.970
305,6,3.062,0,3.957
306,2,3.059,3,3.954
307,2,3.055,3,3.951
308,6,3.065,7,3.961
309,2,3.061,3,3.958
310,4,3.065,5,3.961
311,2,3.061,3,3.958
312,2,3.058,3,3.955
313,8,3.073,9,3.971
314,4,3.076,5,3.975
315,2,3.073,3,3.971
316,4,3.076,5,3.975
317,6,3.085,7,3.984
318,6,3.094,7,3.994
319,4,3.097,5,3.997
320,6,3.106,7,4.006
321,6,3.115,7,4.016
322,4,3.118,5,4.019
323,4,3.121,5,4.022
324,10,3.142,11,4.043
325,2,3.138,3,4.040
326,2,3.135,3,4.037
327,4,3.138,5,4.040
328,2,3.134,3,4.037
329,2,3.131,3,4.033
330,6,3.139,7,4.042
331,14,3.172,15,4.076
332,14,3.205,15,4.108
333,4,3.207,5,4.111
334,8,3.222,9,4.126
335,8,3.236,9,4.140
336,8,3.250,9,4.155
337,2,3.246,3,4.151
338,6,3.254,7,4.160
339,4,3.257,5,4.162
340,2,3.253,3,4.159
341,4,3.255,5,4.161
342,12,3.281,13,4.187
343,2,3.277,3,4.184
344,2,3.273,3,4.180
345,6,3.281,7,4.188
346,4,3.283,5,4.191
347,4,3.285,5,4.193
348,2,3.282,3,4.190
349,2,3.278,3,4.186
350,8,3.291,9,4.200
351,2,3.288,3,4.197
352,2,3.284,3,4.193
353,2,3.280,3,4.190
354,6,3.288,7,4.198
355,2,3.285,3,4.194
356,8,3.298,9,4.208
357,2,3.294,3,4.204
358,6,3.302,7,4.212
359,10,3.320,11,4.231
360,12,3.344,13,4.256
361,8,3.357,9,4.269
362,2,3.354,3,4.265
363,2,3.350,3,4.262
364,8,3.363,9,4.275
365,4,3.364,5,4.277
366,2,3.361,3,4.273
367,6,3.368,7,4.281
368,8,3.380,9,4.293
369,6,3.388,7,4.301
370,6,3.395,7,4.308
371,4,3.396,5,4.310
372,6,3.403,7,4.317
373,12,3.426,13,4.340
374,10,3.444,11,4.358
375,2,3.440,3,4.355
376,10,3.457,0,4.343
377,6,3.464,7,4.350
378,2,3.460,3,4.347
379,10,3.478,11,4.364
380,4,3.479,0,4.353
381,12,3.501,13,4.375
382,2,3.497,3,4.372
383,2,3.493,3,4.368
384,4,3.495,5,4.370
385,4,3.496,5,4.371
386,4,3.497,5,4.373
387,2,3.494,3,4.370
388,6,3.500,7,4.376
389,6,3.506,7,4.383
390,4,3.508,5,4.385
391,12,3.529,0,4.373
392,18,3.566,19,4.411
393,6,3.573,7,4.417
394,6,3.579,7,4.424
