op,costCon,avgCon,costUnion,avgUnion
1,2,2.000,3,3.000
2,2,2.000,3,3.000
3,2,2.000,3,3.000
4,2,2.000,3,3.000
5,2,2.000,3,3.000
6,2,2.000,3,3.000
7,2,2.000,3,3.000
8,2,2.000,3,3.000
9,2,2.000,3,3.000
10,2,2.000,3,3.000
11,2,2.000,3,3.000
12,2,2.000,3,3.000
13,2,2.000,3,3.000
14,2,2.000,3,3.000
15,2,2.000,3,3.000
16,2,2.000,3,3.000
17,2,2.000,3,3.000
18,2,2.000,3,3.000
19,2,2.000,3,3.000
20,2,2.000,3,3.000
21,2,2.000,3,3.000
22,2,2.000,3,3.000
23,2,2.000,3,3.000
24,2,2.000,3,3.000
25,2,2.000,3,3.000
26,2,2.000,3,3.000
27,2,2.000,3,3.000
28,2,2.000,3,3.000
29,2,2.000,3,3.000
30,2,2.000,3,3.000
31,2,2.000,3,3.000
32,2,2.000,3,3.000
33,2,2.000,3,3.000
34,4,2.059,5,3.059
35,2,2.057,3,3.057
36,2,2.056,3,3.056
37,2,2.054,3,3.054
38,2,2.053,3,3.053
39,2,2.051,3,3.051
40,2,2.050,3,3.050
41,2,2.049,3,3.049
42,4,2.095,5,3.095
43,2,2.093,3,3.093
44,2,2.091,3,3.091
45,2,2.089,3,3.089
46,2,2.087,3,3.087
47,2,2.085,3,3.085
48,2,2.083,3,3.083
49,2,2.082,3,3.082
50,2,2.080,3,3.080
51,2,2.078,3,3.078
52,2,2.077,3,3.077
53,2,2.075,3,3.075
54,2,2.074,3,3.074
55,2,2.073,3,3.073
56,2,2.071,3,3.071
57,2,2.070,3,3.070
58,2,2.069,3,3.069
59,2,2.068,3,3.068
60,2,2.067,3,3.067
61,2,2.066,3,3.066
62,2,2.065,3,3.065
63,2,2.063,3,3.063
64,2,2.063,3,3.063
65,4,2.092,5,3.092
66,2,2.091,3,3.091
67,2,2.090,3,3.090
68,4,2.118,5,3.118
69,2,2.116,3,3.116
70,2,2.114,3,3.114
71,2,2.113,3,3.113
72,2,2.111,3,3.111
73,2,2.110,3,3.110
74,2,2.108,3,3.108
75,4,2.133,5,3.133
76,2,2.132,3,3.132
77,4,2.156,5,3.156
78,2,2.154,3,3.154
79,4,2.177,5,3.177
80,2,2.175,3,3.175
81,2,2.173,3,3.173
82,2,2.171,3,3.171
83,2,2.169,3,3.169
84,4,2.190,5,3.190
85,4,2.212,5,3.212
86,2,2.209,3,3.209
87,4,2.230,5,3.230
88,2,2.227,3,3.227
89,2,2.225,3,3.225
90,2,2.222,3,3.222
91,2,2.220,3,3.220
92,2,2.217,3,3.217
93,2,2.215,3,3.215
94,2,2.213,3,3.213
95,2,2.211,3,3.211
96,2,2.208,3,3.208
97,2,2.206,3,3.206
98,4,2.224,5,3.224
99,2,2.222,3,3.222
100,2,2.220,3,3.220
101,2,2.218,3,3.218
102,2,2.216,3,3.216
103,2,2.214,3,3.214
104,2,2.212,3,3.212
105,2,2.210,3,3.210
106,2,2.208,3,3.208
107,2,2.206,3,3.206
108,2,2.204,3,3.204
109,4,2.220,5,3.220
110,2,2.218,3,3.218
111,2,2.216,3,3.216
112,2,2.214,3,3.214
113,4,2.230,5,3.230
114,2,2.228,3,3.228
115,4,2.243,5,3.243
116,2,2.241,3,3.241
117,4,2.256,5,3.256
118,2,2.254,3,3.254
119,6,2.286,7,3.286
120,2,2.283,3,3.283
121,2,2.281,3,3.281
122,2,2.279,3,3.279
123,4,2.293,5,3.293
124,2,2.290,3,3.290
125,2,2.288,3,3.288
126,2,2.286,3,3.286
127,4,2.299,5,3.299
128,4,2.313,5,3.313
129,2,2.310,3,3.310
130,4,2.323,5,3.323
131,2,2.321,3,3.321
132,4,2.333,5,3.333
133,4,2.346,5,3.346
134,2,2.343,3,3.343
135,2,2.341,3,3.341
136,2,2.338,3,3.338
137,2,2.336,3,3.336
138,2,2.333,3,3.333
139,4,2.345,5,3.345
140,2,2.343,3,3.343
141,2,2.340,3,3.340
142,4,2.352,5,3.352
143,2,2.350,3,3.350
144,2,2.347,3,3.347
145,4,2.359,5,3.359
146,2,2.356,3,3.356
147,2,2.354,3,3.354
148,2,2.351,3,3.351
149,2,2.349,3,3.349
150,4,2.360,5,3.360
151,2,2.358,3,3.358
152,2,2.355,3,3.355
153,6,2.379,0,3.333
154,4,2.390,5,3.344
155,2,2.387,3,3.342
156,2,2.385,3,3.340
157,2,2.382,3,3.338
158,2,2.380,3,3.335
159,2,2.377,3,3.333
160,2,2.375,3,3.331
161,4,2.385,5,3.342
162,2,2.383,3,3.340
163,2,2.380,3,3.337
164,2,2.378,3,3.335
165,2,2.376,3,3.333
166,4,2.386,5,3.343
167,2,2.383,3,3.341
168,4,2.393,5,3.351
169,2,2.391,3,3.349
170,2,2.388,3,3.347
171,2,2.386,3,3.345
172,2,2.384,3,3.343
173,2,2.382,3,3.341
174,2,2.379,3,3.339
175,2,2.377,3,3.337
176,2,2.375,3,3.335
177,2,2.373,3,3.333
178,2,2.371,3,3.331
179,4,2.380,5,3.341
180,4,2.389,5,3.350
181,4,2.398,5,3.359
182,4,2.407,5,3.368
183,4,2.415,5,3.377
184,4,2.424,5,3.386
185,4,2.432,5,3.395
186,2,2.430,3,3.392
187,2,2.428,3,3.390
188,2,2.426,3,3.388
189,2,2.423,3,3.386
190,4,2.432,5,3.395
191,2,2.429,3,3.393
192,2,2.427,3,3.391
193,4,2.435,5,3.399
194,4,2.443,5,3.407
195,4,2.451,5,3.415
196,2,2.449,3,3.413
197,2,2.447,3,3.411
198,2,2.444,3,3.409
199,6,2.462,7,3.427
200,4,2.470,5,3.435
201,2,2.468,3,3.433
202,2,2.465,3,3.431
203,2,2.463,3,3.429
204,6,2.480,7,3.446
205,2,2.478,3,3.444
206,2,2.476,3,3.442
207,2,2.473,3,3.440
208,2,2.471,3,3.438
209,2,2.469,3,3.435
210,2,2.467,3,3.433
211,4,2.474,5,3.441
212,2,2.472,3,3.439
213,2,2.469,3,3.437
214,4,2.477,5,3.444
215,2,2.474,3,3.442
216,6,2.491,7,3.458
217,2,2.488,3,3.456
218,2,2.486,3,3.454
219,2,2.484,3,3.452
220,2,2.482,3,3.450
221,2,2.480,3,3.448
222,6,2.495,7,3.464
223,4,2.502,5,3.471
224,2,2.500,3,3.469
225,4,2.507,5,3.476
226,2,2.504,3,3.473
227,2,2.502,3,3.471
228,4,2.509,5,3.478
229,2,2.507,3,3.476
230,4,2.513,5,3.483
231,2,2.511,3,3.481
232,2,2.509,3,3.478
233,4,2.515,5,3.485
234,2,2.513,3,3.483
235,2,2.511,3,3.481
236,4,2.517,5,3.487
237,4,2.523,5,3.494
238,4,2.529,5,3.500
239,2,2.527,3,3.498
240,4,2.533,5,3.504
241,4,2.539,5,3.510
242,4,2.545,5,3.517
243,8,2.568,9,3.539
244,2,2.566,3,3.537
245,2,2.563,3,3.535
246,2,2.561,3,3.533
247,4,2.567,5,3.538
248,2,2.565,3,3.536
249,2,2.562,3,3.534
250,4,2.568,5,3.540
251,2,2.566,3,3.538
252,2,2.563,3,3.536
253,2,2.561,3,3.534
254,2,2.559,3,3.531
255,6,2.573,7,3.545
256,2,2.570,3,3.543
257,2,2.568,3,3.541
258,2,2.566,3,3.539
259,4,2.571,5,3.544
260,4,2.577,5,3.550
261,2,2.575,3,3.548
262,2,2.573,3,3.546
263,4,2.578,5,3.551
264,2,2.576,3,3.549
265,2,2.574,3,3.547
266,2,2.571,3,3.545
267,4,2.577,5,3.551
268,2,2.575,3,3.549
269,6,2.587,7,3.561
270,6,2.600,7,3.574
271,2,2.598,3,3.572
272,4,2.603,5,3.577
273,2,2.601,3,3.575
274,2,2.599,3,3.573
275,4,2.604,5,3.578
276,4,2.609,5,3.583
277,2,2.606,3,3.581
278,2,2.604,3,3.579
279,4,2.609,5,3.584
280,8,2.629,9,3.604
281,4,2.633,5,3.609
282,4,2.638,5,3.613
283,2,2.636,3,3.611
284,2,2.634,3,3.609
285,4,2.639,5,3.614
286,6,2.650,0,3.601
287,4,2.655,0,3.589
288,2,2.653,3,3.587
289,4,2.657,5,3.592
290,4,2.662,5,3.597
291,2,2.660,3,3.595
292,2,2.658,3,3.592
293,6,2.669,7,3.604
294,4,2.673,5,3.609
295,2,2.671,3,3.607
296,2,2.669,3,3.605
297,2,2.667,3,3.603
298,4,2.671,5,3.607
299,2,2.669,3,3.605
300,2,2.667,3,3.603
301,6,2.678,7,3.615
302,2,2.675,3,3.613
303,8,2.693,9,3.630
304,2,2.691,3,3.628
305,6,2.702,0,3.616
306,6,2.712,7,3.627
307,2,2.710,3,3.625
308,4,2.714,5,3.630
309,2,2.712,3,3.628
310,4,2.716,5,3.632
311,2,2.714,3,3.630
312,2,2.712,3,3.628
313,4,2.716,5,3.633
314,2,2.713,3,3.631
315,4,2.717,5,3.635
316,4,2.722,5,3.639
317,4,2.726,5,3.644
318,4,2.730,5,3.648
319,2,2.727,3,3.646
320,4,2.731,5,3.650
321,6,2.741,7,3.660
322,6,2.752,7,3.671
323,4,2.755,5,3.675
324,4,2.759,5,3.679
325,2,2.757,3,3.677
326,6,2.767,7,3.687
327,6,2.777,7,3.697
328,4,2.780,5,3.701
329,4,2.784,5,3.705
330,6,2.794,7,3.715
331,6,2.804,7,3.725
332,2,2.801,3,3.723
333,2,2.799,3,3.721
334,4,2.802,5,3.725
335,4,2.806,5,3.728
336,8,2.821,9,3.744
337,8,2.837,9,3.760
338,4,2.840,5,3.763
339,4,2.844,5,3.767
340,2,2.841,3,3.765
341,2,2.839,3,3.762
342,4,2.842,5,3.766
343,4,2.845,5,3.770
344,2,2.843,3,3.767
345,4,2.846,5,3.771
346,4,2.850,5,3.775
347,4,2.853,5,3.778
348,4,2.856,5,3.782
349,6,2.865,7,3.791
350,6,2.874,7,3.800
351,6,2.883,7,3.809
352,2,2.881,3,3.807
353,2,2.878,3,3.805
354,6,2.887,7,3.814
355,4,2.890,5,3.817
356,6,2.899,7,3.826
357,4,2.902,5,3.829
358,6,2.911,7,3.838
359,4,2.914,5,3.841
360,4,2.917,5,3.844
361,4,2.920,5,3.848
362,2,2.917,3,3.845
363,4,2.920,5,3.848
364,8,2.934,9,3.863
365,4,2.937,5,3.866
366,8,2.951,9,3.880
367,4,2.954,5,3.883
368,6,2.962,7,3.891
369,4,2.965,5,3.894
370,6,2.973,7,3.903
371,4,2.976,5,3.906
372,4,2.978,5,3.909
373,4,2.981,5,3.912
374,4,2.984,5,3.914
375,4,2.987,5,3.917
376,10,3.005,0,3.907
377,8,3.019,9,3.920
378,6,3.026,7,3.929
379,6,3.034,7,3.937
380,6,3.042,0,3.926
381,4,3.045,5,3.929
382,2,3.042,3,3.927
383,6,3.050,7,3.935
384,4,3.052,5,3.938
385,8,3.065,9,3.951
386,2,3.062,3,3.948
387,2,3.059,3,3.946
388,6,3.067,7,3.954
389,4,3.069,5,3.956
390,2,3.067,3,3.954
391,4,3.069,0,3.944
392,4,3.071,5,3.946
393,4,3.074,5,3.949
394,6,3.081,7,3.957
