N,TopDown,BottomUp,6NlgN
1,0,0,0.00
2,8,8,12.00
3,20,20,28.53
4,32,32,48.00
5,48,52,69.66
6,64,64,93.06
7,80,80,117.91
8,96,96,144.00
9,116,132,171.18
10,136,144,199.32
11,156,160,228.32
12,176,176,258.12
13,196,200,288.63
14,216,216,319.82
15,236,236,351.62
16,256,256,384.00
17,280,324,416.92
18,304,336,450.35
19,328,352,484.26
20,352,368,518.63
21,376,392,553.43
22,400,408,588.64
23,424,428,624.25
24,448,448,660.23
25,472,488,696.58
26,496,504,733.27
27,520,524,770.29
28,544,544,807.64
29,568,572,845.29
30,592,592,883.24
31,616,616,921.48
32,640,640,960.00
33,668,772,998.79
34,696,784,1037.84
35,724,800,1077.15
36,752,816,1116.70
37,780,840,1156.50
38,808,856,1196.53
39,836,876,1236.78
40,864,896,1277.26
41,892,936,1317.96
42,920,952,1358.86
43,948,972,1399.98
44,976,992,1441.29
45,1004,1020,1482.80
46,1032,1040,1524.50
47,1060,1064,1566.39
48,1088,1088,1608.47
49,1116,1160,1650.72
50,1144,1176,1693.16
51,1172,1196,1735.76
52,1200,1216,1778.54
53,1228,1244,1821.48
54,1256,1264,1864.58
55,1284,1288,1907.85
56,1312,1312,1951.27
57,1340,1356,1994.85
58,1368,1376,2038.58
59,1396,1400,2082.46
60,1424,1424,2126.48
61,1452,1456,2170.65
62,1480,1480,2214.96
63,1508,1508,2259.41
64,1536,1536,2304.00
65,1568,1796,2348.72
66,1600,1808,2393.58
67,1632,1824,2438.57
68,1664,1840,2483.68
69,1696,1864,2528.93
70,1728,1880,2574.30
71,1760,1900,2619.79
72,1792,1920,2665.41
73,1824,1960,2711.14
74,1856,1976,2757.00
75,1888,1996,2802.97
76,1920,2016,2849.05
77,1952,2044,2895.26
78,1984,2064,2941.57
79,2016,2088,2987.99
80,2048,2112,3034.53
81,2080,2184,3081.17
82,2112,2200,3127.92
83,2144,2220,3174.77
84,2176,2240,3221.73
85,2208,2268,3268.79
86,2240,2288,3315.95
87,2272,2312,3363.22
88,2304,2336,3410.58
89,2336,2380,3458.04
90,2368,2400,3505.60
91,2400,2424,3553.26
92,2432,2448,3601.01
93,2464,2480,3648.85
94,2496,2504,3696.79
95,2528,2532,3744.82
96,2560,2560,3792.94
97,2592,2696,3841.15
98,2624,2712,3889.45
99,2656,2732,3937.84
100,2688,2752,3986.31
101,2720,2780,4034.88
102,2752,2800,4083.52
103,2784,2824,4132.26
104,2816,2848,4181.07
105,2848,2892,4229.97
106,2880,2912,4278.96
107,2912,2936,4328.02
108,2944,2960,4377.17
109,2976,2992,4426.39
110,3008,3016,4475.70
111,3040,3044,4525.08
112,3072,3072,4574.54
113,3104,3148,4624.08
114,3136,3168,4673.70
115,3168,3192,4723.39
116,3200,3216,4773.15
117,3232,3248,4823.00
118,3264,3272,4872.91
119,3296,3300,4922.90
120,3328,3328,4972.96
121,3360,3376,5023.09
122,3392,3400,5073.30
123,3424,3428,5123.58
124,3456,3456,5173.92
125,3488,3492,5224.34
126,3520,3520,5274.82
127,3552,3552,5325.38
128,3584,3584,5376.00
129,3620,4100,5426.69
130,3656,4112,5477.45
131,3692,4128,5528.27
132,3728,4144,5579.16
133,3764,4168,5630.12
134,3800,4184,5681.14
135,3836,4204,5732.22
136,3872,4224,5783.37
137,3908,4264,5834.58
138,3944,4280,5885.86
139,3980,4300,5937.20
140,4016,4320,5988.60
141,4052,4348,6040.06
142,4088,4368,6091.58
143,4124,4392,6143.17
144,4160,4416,6194.82
145,4196,4488,6246.52
146,4232,4504,6298.29
147,4268,4524,6350.11
148,4304,4544,6401.99
149,4340,4572,6453.94
150,4376,4592,6505.94
151,4412,4616,6557.99
152,4448,4640,6610.11
153,4484,4684,6662.28
154,4520,4704,6714.51
155,4556,4728,6766.80
156,4592,4752,6819.14
157,4628,4784,6871.53
158,4664,4808,6923.98
159,4700,4836,6976.49
160,4736,4864,7029.05
161,4772,5000,7081.67
162,4808,5016,7134.33
163,4844,5036,7187.06
